Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,0.794921,0.796679,0.791015,0.796679,0.516419,204800
1996-01-02,0.794921,0.798828,0.793457,0.793457,0.514330,204800
1996-01-03,0.798828,0.798828,0.798828,0.798828,0.517812,102400
1996-01-04,0.791015,0.794921,0.791015,0.793554,0.514393,307200
1996-01-05,0.784179,0.784179,0.784179,0.784179,0.508316,51200
1996-01-08,0.784179,0.791015,0.785156,0.789062,0.511481,358400
1996-01-09,0.789062,0.781250,0.771484,0.780273,0.505784,870400
1996-01-10,0.780273,0.775390,0.771484,0.773437,0.501353,358400
1996-01-11,0.779296,0.791015,0.773437,0.791015,0.512747,819200
1996-01-12,0.787109,0.787109,0.781250,0.786621,0.509899,358400
1996-01-15,0.776367,0.785156,0.776367,0.777832,0.504202,307200
1996-01-16,0.777832,0.781250,0.712890,0.781250,0.506418,358400
1996-01-17,0.781250,0.783203,0.771484,0.773828,0.501606,768000
1996-01-18,0.773828,0.776367,0.769531,0.776367,0.503252,204800
1996-01-19,0.771484,0.771484,0.768066,0.768554,0.498188,512000
1996-01-22,0.771484,0.776367,0.771484,0.776367,0.503252,204800
1996-01-23,0.767578,0.781250,0.767578,0.773925,0.501669,665600
1996-01-24,0.773925,0.770507,0.752929,0.770507,0.499454,409600
1996-01-25,0.770996,0.770996,0.767578,0.767578,0.497555,102400
1996-01-26,0.767578,0.767578,0.767578,0.767578,0.497555,0
1996-01-29,0.765625,0.765625,0.763183,0.763183,0.494706,102400
1996-01-30,0.763183,0.775390,0.771484,0.772460,0.500719,1433600
1996-01-31,0.772460,0.781250,0.767578,0.781250,0.506418,460800
1996-02-01,0.781250,0.810546,0.781250,0.810546,0.525407,819200
1996-02-02,0.810546,0.839843,0.810546,0.839746,0.544335,2355200
1996-02-05,0.839746,0.841796,0.820410,0.839843,0.544398,819200
1996-02-06,0.839843,0.883789,0.839843,0.859375,0.557059,1382400
1996-02-07,0.859375,0.843750,0.833984,0.836523,0.542246,972800
1996-02-08,0.849609,0.888671,0.849609,0.888671,0.576049,768000
1996-02-09,0.888671,0.927734,0.830078,0.922558,0.598015,1382400
1996-02-12,0.922558,0.935546,0.908203,0.912109,0.591242,819200
1996-02-13,0.937500,0.957031,0.937500,0.957031,0.620361,2048000
1996-02-14,0.957031,1.000976,0.951171,0.993164,0.643783,972800
1996-02-15,0.993164,1.005859,0.957031,1.002539,0.649860,2201600
1996-02-16,1.002539,1.015625,0.965332,1.005371,0.651696,2764800
1996-02-19,1.005371,0.986328,0.982421,0.984570,0.638212,1024000
1996-02-20,0.984570,0.981445,0.968750,0.968945,0.628084,614400
1996-02-21,0.968945,0.968945,0.968945,0.968945,0.628084,0
1996-02-22,0.968945,0.972656,0.961230,0.961425,0.623209,307200
1996-02-23,0.961425,0.970703,0.960937,0.970703,0.629223,153600
1996-02-26,0.970703,0.976562,0.966308,0.976562,0.633021,204800
1996-02-27,0.976562,0.952148,0.927734,0.927734,0.601370,153600
1996-02-28,0.927734,0.929687,0.929687,0.929687,0.602636,51200
1996-02-29,0.929687,0.917968,0.914062,0.916015,0.593774,460800
1996-03-01,0.916015,0.927734,0.898437,0.922851,0.598205,512000
1996-03-04,0.927734,0.937500,0.927734,0.937500,0.607701,153600
1996-03-05,0.937500,0.937500,0.937500,0.937500,0.607701,0
1996-03-06,0.952929,0.952929,0.911132,0.911132,0.590609,204800
1996-03-07,0.911132,0.937500,0.917871,0.937500,0.607701,307200
1996-03-08,0.937500,0.945214,0.929687,0.945214,0.612701,256000
1996-03-11,0.945214,0.937500,0.931738,0.935546,0.606434,153600
1996-03-12,0.935546,0.937500,0.917968,0.937500,0.607701,409600
1996-03-13,0.937500,0.928125,0.915039,0.915039,0.593141,870400
1996-03-14,0.915039,0.937500,0.937011,0.937500,0.607701,307200
1996-03-15,0.937500,0.933691,0.933593,0.933593,0.605168,153600
1996-03-18,0.933593,0.937500,0.933593,0.934960,0.606054,1228800
1996-03-19,0.934960,0.937500,0.927734,0.937500,0.607701,256000
1996-03-20,0.937500,0.937500,0.937500,0.937500,0.607701,0
1996-03-21,0.937500,0.944726,0.934570,0.934570,0.605802,256000
1996-03-22,0.934570,0.951171,0.941503,0.946679,0.613651,768000
1996-03-25,0.946679,0.937304,0.920898,0.935546,0.606434,409600
1996-03-26,0.935546,0.933593,0.923046,0.923046,0.598331,204800
1996-03-27,0.923046,0.937500,0.929687,0.929687,0.602636,716800
1996-03-28,0.929687,0.949316,0.947265,0.949316,0.615360,307200
1996-03-29,0.949316,0.984277,0.957031,0.982324,0.636756,716800
1996-04-01,0.982324,0.982324,0.982324,0.982324,0.636756,0
1996-04-02,0.982324,0.986328,0.974609,0.986328,0.639352,614400
1996-04-03,0.986328,0.990234,0.978515,0.978515,0.634287,512000
1996-04-04,0.978515,0.976562,0.976562,0.976562,0.633021,51200
1996-04-05,0.976562,0.976562,0.976562,0.976562,0.633021,0
1996-04-08,0.976562,0.982226,0.976562,0.982226,0.636693,256000
1996-04-09,0.982226,1.035156,0.988281,1.032226,0.669104,2099200
1996-04-10,1.032226,1.136718,1.084082,1.088867,0.705819,4505600
1996-04-11,1.088867,1.085937,1.064453,1.076171,0.697590,1536000
1996-04-12,1.076171,1.093750,1.070410,1.092578,0.708225,1587200
1996-04-15,1.092578,1.171875,1.093750,1.160156,0.752029,3174400
1996-04-16,1.160156,1.220703,1.152343,1.206640,0.782161,2918400
1996-04-17,1.206640,1.279296,1.210937,1.265820,0.820523,4249600
1996-04-18,1.265820,1.318164,1.231445,1.251757,0.811406,3532800
1996-04-19,1.251757,1.271484,1.235351,1.242187,0.805203,1587200
1996-04-22,1.242187,1.240234,1.210937,1.212890,0.786212,1689600
1996-04-23,1.212890,1.220703,1.201171,1.217968,0.789504,3276800
1996-04-24,1.217968,1.269531,1.232421,1.242285,0.805267,1280000
1996-04-25,1.242285,1.256835,1.240332,1.240429,0.804063,1484800
1996-04-26,1.240429,1.257812,1.223242,1.237402,0.802101,1382400
1996-04-29,1.237402,1.234375,1.224414,1.228515,0.796341,460800
1996-04-30,1.228515,1.239746,1.223632,1.231445,0.802706,1075200
1996-05-01,1.231445,1.236328,1.228515,1.231445,0.802706,358400
1996-05-02,1.231445,1.289062,1.238281,1.253906,0.817348,1280000
1996-05-03,1.253906,1.265625,1.240234,1.254394,0.817666,1638400
1996-05-06,1.254394,1.267089,1.245117,1.262500,0.822950,2150400
1996-05-07,1.262500,1.269531,1.250488,1.269531,0.827532,1536000
1996-05-08,1.269531,1.296875,1.259765,1.286523,0.838609,1638400
1996-05-09,1.286523,1.375976,1.263769,1.320996,0.861080,4864000
1996-05-10,1.320996,1.354492,1.279296,1.343261,0.875593,3328000
1996-05-13,1.343261,1.364550,1.330273,1.342480,0.875084,1587200
1996-05-14,1.342480,1.347460,1.316406,1.335839,0.870755,1536000
1996-05-15,1.335839,1.345117,1.304687,1.318164,0.859234,1894400
1996-05-16,1.318164,1.353515,1.330078,1.331640,0.868018,972800
1996-05-17,1.331640,1.348437,1.294921,1.311230,0.854714,1177600
1996-05-20,1.311230,1.308593,1.291992,1.293261,0.843001,870400
1996-05-21,1.293261,1.312500,1.286132,1.301269,0.848221,2355200
1996-05-22,1.301269,1.308593,1.297851,1.297851,0.845993,1024000
1996-05-23,1.297851,1.293457,1.280371,1.288769,0.840073,460800
1996-05-24,1.288769,1.292968,1.271484,1.291015,0.841537,819200
1996-05-27,1.291015,1.279296,1.266113,1.266113,0.825305,614400
1996-05-28,1.266113,1.279296,1.250000,1.277343,0.832625,921600
1996-05-29,1.277343,1.294433,1.281738,1.294433,0.843765,512000
1996-05-30,1.294433,1.279296,1.260253,1.269921,0.827787,563200
1996-05-31,1.269921,1.269531,1.261718,1.263671,0.823713,409600
1996-06-03,1.263671,1.302734,1.286132,1.301660,0.848476,819200
1996-06-04,1.301660,1.309960,1.298828,1.309960,0.853886,460800
1996-06-05,1.311523,1.316406,1.304687,1.305664,0.851086,460800
1996-06-06,1.318359,1.332031,1.318359,1.332031,0.868273,512000
1996-06-07,1.331542,1.351562,1.328320,1.351171,0.880749,1331200
1996-06-10,1.392480,1.392480,1.371093,1.375097,0.896345,819200
1996-06-11,1.367187,1.380859,1.359570,1.378515,0.898573,1382400
1996-06-12,1.386718,1.404296,1.382812,1.386914,0.904048,1638400
1996-06-13,1.376953,1.386523,1.367187,1.380761,0.900037,460800
1996-06-14,1.384667,1.388671,1.378906,1.386718,0.903920,819200
1996-06-17,1.406250,1.408203,1.386718,1.386718,0.903920,1126400
1996-06-18,1.372070,1.406250,1.367187,1.381738,0.900674,1331200
1996-06-19,1.386718,1.386718,1.386718,1.386718,0.903920,102400
1996-06-20,1.367187,1.386718,1.367187,1.376953,0.897555,307200
1996-06-21,1.378906,1.386718,1.376953,1.376953,0.897555,1177600
1996-06-24,1.367187,1.367187,1.357421,1.362109,0.887879,768000
1996-06-25,1.355664,1.361328,1.353710,1.360351,0.886733,716800
1996-06-26,1.367089,1.388671,1.357421,1.385742,0.903284,14745600
1996-06-27,1.365234,1.386718,1.364257,1.385156,0.902902,819200
1996-06-28,1.384765,1.384765,1.374121,1.380859,0.900101,460800
1996-07-01,1.386718,1.390625,1.378417,1.382812,0.901374,563200
1996-07-02,1.376953,1.386718,1.376953,1.380273,0.899719,972800
1996-07-03,1.369140,1.386523,1.362304,1.372656,0.894754,1689600
1996-07-04,1.365234,1.376953,1.349121,1.367187,0.891189,768000
1996-07-05,1.367187,1.367187,1.363281,1.363281,0.888643,256000
1996-07-08,1.363281,1.367187,1.354980,1.354980,0.883232,307200
1996-07-09,1.365234,1.365234,1.347656,1.357421,0.884823,512000
1996-07-10,1.363281,1.386718,1.363281,1.386718,0.903920,409600
1996-07-11,1.386718,1.396972,1.378906,1.379296,0.899082,614400
1996-07-12,1.386523,1.392578,1.379199,1.384570,0.902520,614400
1996-07-15,1.381835,1.381835,1.373046,1.373046,0.895008,307200
1996-07-16,1.359570,1.359570,1.337890,1.350976,0.880621,614400
1996-07-17,1.350976,1.350976,1.350976,1.350976,0.880621,0
1996-07-18,1.357421,1.357910,1.347656,1.357910,0.885142,563200
1996-07-19,1.367187,1.367187,1.350585,1.363769,0.888961,665600
1996-07-22,1.376953,1.376953,1.367187,1.367187,0.891189,256000
1996-07-23,1.367187,1.367187,1.349609,1.355371,0.883487,716800
1996-07-24,1.337890,1.337890,1.285156,1.337890,0.872092,1177600
1996-07-25,1.335937,1.367187,1.332031,1.357617,0.884951,1331200
1996-07-26,1.363085,1.363281,1.332031,1.339843,0.873365,921600
1996-07-29,1.345703,1.347656,1.331054,1.331054,0.867636,358400
1996-07-30,1.328125,1.328125,1.242187,1.249023,0.814164,1126400
1996-07-31,1.254003,1.289062,1.254003,1.289062,0.840264,870400
1996-08-01,1.308593,1.367187,1.308593,1.367089,0.891125,1331200
1996-08-02,1.375000,1.375000,1.347656,1.347656,0.878458,256000
1996-08-05,1.347656,1.347656,1.335937,1.337792,0.872028,409600
1996-08-06,1.328125,1.355468,1.328125,1.343554,0.875784,870400
1996-08-07,1.318359,1.328125,1.318359,1.324121,0.863117,204800
1996-08-08,1.337695,1.347656,1.336914,1.345703,0.877185,307200
1996-08-09,1.337890,1.337890,1.328125,1.330468,0.867254,614400
1996-08-12,1.322363,1.328125,1.310546,1.311914,0.855159,614400
1996-08-13,1.302734,1.308593,1.301757,1.301757,0.848539,204800
1996-08-14,1.308593,1.310546,1.308593,1.310546,0.854268,153600
1996-08-15,1.310546,1.310546,1.310546,1.310546,0.854268,0
1996-08-16,1.279492,1.279492,1.234375,1.265625,0.824987,512000
1996-08-19,1.244140,1.263671,1.242187,1.243164,0.810346,614400
1996-08-20,1.242187,1.250000,1.242187,1.242187,0.809709,665600
1996-08-21,1.242187,1.259765,1.242089,1.257128,0.819448,1280000
1996-08-22,1.267578,1.269531,1.257812,1.257812,0.819894,512000
1996-08-23,1.276367,1.284960,1.273437,1.284179,0.837081,921600
1996-08-26,1.308593,1.308593,1.275390,1.279492,0.834026,563200
1996-08-27,1.261718,1.289062,1.261718,1.283984,0.836954,1382400
1996-08-28,1.289062,1.304687,1.279296,1.279296,0.833898,819200
1996-08-29,1.289062,1.312500,1.289062,1.297070,0.845484,460800
1996-08-30,1.318359,1.318359,1.308593,1.308593,0.852995,153600
1996-09-02,1.330175,1.330175,1.307617,1.308105,0.852677,716800
1996-09-03,1.304687,1.304785,1.295117,1.295117,0.844211,870400
1996-09-04,1.302734,1.309277,1.302734,1.309277,0.853441,307200
1996-09-05,1.316406,1.316406,1.310546,1.316406,0.858088,358400
1996-09-06,1.312500,1.367187,1.308593,1.347656,0.878458,4864000
1996-09-09,1.332031,1.337890,1.312500,1.312500,0.855542,3993600
1996-09-10,1.300781,1.308593,1.300781,1.306054,0.851340,153600
1996-09-11,1.291015,1.300781,1.291015,1.294921,0.844083,153600
1996-09-12,1.296484,1.296679,1.296484,1.296679,0.845229,153600
1996-09-13,1.282226,1.294921,1.282226,1.289257,0.840391,256000
1996-09-16,1.285156,1.289062,1.285156,1.289062,0.840264,256000
1996-09-17,1.308398,1.308398,1.279296,1.288769,0.840073,409600
1996-09-18,1.296875,1.308593,1.296875,1.296875,0.845356,256000
1996-09-19,1.296875,1.308593,1.296875,1.308593,0.852995,256000
1996-09-20,1.308593,1.312500,1.308593,1.309082,0.853313,1024000
1996-09-23,1.289062,1.328125,1.289062,1.319335,0.859997,3020800
1996-09-24,1.299023,1.310449,1.298828,1.308593,0.852995,307200
1996-09-25,1.308593,1.316210,1.308593,1.312792,0.855732,307200
1996-09-26,1.304687,1.304687,1.299023,1.299023,0.846757,102400
1996-09-27,1.279296,1.296875,1.279296,1.296875,0.845356,563200
1996-09-30,1.285156,1.293945,1.279296,1.288085,0.839627,2560000
1996-10-01,1.279296,1.281250,1.259765,1.259765,0.821167,1075200
1996-10-02,1.259765,1.259765,1.259765,1.259765,0.821167,0
1996-10-03,1.240234,1.269042,1.237304,1.269042,0.827214,1740800
1996-10-04,1.242187,1.259667,1.241210,1.254882,0.817984,2150400
1996-10-07,1.249023,1.249023,1.216796,1.224707,0.798315,1382400
1996-10-08,1.212890,1.242187,1.209472,1.234375,0.804617,1587200
1996-10-09,1.226562,1.269531,1.226562,1.267968,0.826514,1484800
1996-10-10,1.337890,1.355468,1.308593,1.328808,0.866172,2611200
1996-10-11,1.347656,1.347656,1.328613,1.336035,0.870883,3225600
1996-10-14,1.328125,1.328125,1.308593,1.310546,0.854268,460800
1996-10-15,1.313867,1.317382,1.283203,1.292675,0.842619,1843200
1996-10-16,1.304687,1.308593,1.298828,1.305957,0.851276,716800
1996-10-17,1.308593,1.308593,1.298828,1.304589,0.850385,768000
1996-10-18,1.308593,1.308593,1.303710,1.305175,0.850767,256000
1996-10-21,1.305175,1.305175,1.305175,1.305175,0.850767,0
1996-10-22,1.343554,1.357421,1.342773,1.349609,0.879730,1280000
1996-10-23,1.376953,1.386718,1.357421,1.365234,0.889916,819200
1996-10-24,1.406250,1.406250,1.347949,1.348339,0.878903,409600
1996-10-25,1.328125,1.345703,1.328125,1.345605,0.877121,307200
